,five_stars,four_stars,three_stars,two_stars,one_star,zero_star
1,"['theatres', 'malls']","['beaches', 'parks']","['museums', 'pubs-bars']","['zoo', 'restaurants', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries']",['dance-clubs'],"['churches', 'resorts', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']"
2,"['theatres', 'malls']","['beaches', 'parks']","['museums', 'zoo', 'pubs-bars']","['restaurants', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries']",['dance-clubs'],"['churches', 'resorts', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']"
3,"['theatres', 'malls']","['beaches', 'parks']","['museums', 'zoo', 'pubs-bars']","['restaurants', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries']",['dance-clubs'],"['churches', 'resorts', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']"
4,"['theatres', 'malls']","['beaches', 'parks']","['museums', 'pubs-bars']","['zoo', 'restaurants', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries']",['dance-clubs'],"['churches', 'resorts', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']"
5,"['theatres', 'malls']","['beaches', 'parks']","['museums', 'zoo', 'pubs-bars']","['restaurants', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries']",['dance-clubs'],"['churches', 'resorts', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']"
6,"['theatres', 'malls']","['beaches', 'parks']","['museums', 'zoo', 'pubs-bars']","['restaurants', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries']",['dance-clubs'],"['churches', 'resorts', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']"
7,"['resorts', 'theatres']","['beaches', 'parks']","['museums', 'malls', 'pubs-bars']","['zoo', 'restaurants', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries']",['dance-clubs'],"['churches', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']"
8,"['resorts', 'theatres', 'malls']","['beaches', 'parks']","['museums', 'zoo', 'pubs-bars']","['restaurants', 'burger-pizza', 'hotels-lodgings', 'juice-bars', 'art-galleries']",['dance-clubs'],"['churches', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']"
9,"['resorts', 'theatres']","['beaches', 'parks']","['museums', 'malls', 'zoo', 'pubs-bars']","['restaurants', 'burger-pizza', 'hotels-lodgings', 'juice-bars']","['art-galleries', 'dance-clubs']","['churches', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']"
10,"['resorts', 'theatres', 'malls']","['beaches', 'parks']","['museums', 'pubs-bars']","['zoo', 'restaurants', 'burger-pizza', 'hotels-lodgings', 'juice-bars']","['art-galleries', 'dance-clubs']","['churches', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']"
11,"['theatres', 'malls']","['beaches', 'parks']","['museums', 'zoo', 'pubs-bars']","['restaurants', 'burger-pizza', 'hotels-lodgings', 'juice-bars']","['resorts', 'art-galleries', 'dance-clubs']","['churches', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']"
12,"['theatres', 'malls']","['beaches', 'parks']","['museums', 'zoo', 'pubs-bars']","['restaurants', 'burger-pizza', 'hotels-lodgings', 'juice-bars']","['resorts', 'art-galleries', 'dance-clubs']","['churches', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']"
13,"['theatres', 'malls']","['beaches', 'parks']","['museums', 'zoo', 'pubs-bars']","['restaurants', 'burger-pizza', 'hotels-lodgings']","['resorts', 'juice-bars', 'art-galleries', 'dance-clubs']","['churches', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']"
14,"['theatres', 'malls', 'pubs-bars']","['beaches', 'parks']",['museums'],"['zoo', 'restaurants', 'burger-pizza', 'hotels-lodgings']","['resorts', 'juice-bars', 'art-galleries', 'dance-clubs']","['churches', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']"
15,['malls'],"['beaches', 'parks']","['theatres', 'museums', 'pubs-bars']","['zoo', 'restaurants', 'burger-pizza', 'hotels-lodgings']","['resorts', 'juice-bars', 'art-galleries', 'dance-clubs', 'beauty-spas']","['churches', 'swimming-pools', 'gyms', 'bakeries', 'cafes', 'view-points', 'monuments', 'gardens']"
16,['malls'],"['beaches', 'parks']","['theatres', 'museums', 'zoo']","['restaurants', 'pubs-bars', 'burger-pizza', 'hotels-lodgings']","['resorts', 'juice-bars', 'art-galleries', 'dance-clubs', 'beauty-spas']","['churches', 'swimming-pools', 'gyms', 'bakeries', 'cafes', 'view-points', 'monuments', 'gardens']"
17,[],"['beaches', 'parks']","['theatres', 'museums', 'malls', 'zoo', 'pubs-bars']","['restaurants', 'burger-pizza', 'hotels-lodgings']","['resorts', 'juice-bars', 'art-galleries', 'dance-clubs', 'beauty-spas']","['churches', 'swimming-pools', 'gyms', 'bakeries', 'cafes', 'view-points', 'monuments', 'gardens']"
18,[],"['beaches', 'parks']","['theatres', 'museums', 'malls', 'zoo', 'pubs-bars']","['restaurants', 'burger-pizza', 'hotels-lodgings']","['resorts', 'juice-bars', 'art-galleries', 'dance-clubs', 'beauty-spas']","['churches', 'swimming-pools', 'gyms', 'bakeries', 'cafes', 'view-points', 'monuments', 'gardens']"
19,['beaches'],['parks'],"['theatres', 'museums', 'malls', 'zoo', 'pubs-bars']","['restaurants', 'burger-pizza', 'hotels-lodgings']","['resorts', 'juice-bars', 'art-galleries', 'dance-clubs', 'beauty-spas']","['churches', 'swimming-pools', 'gyms', 'bakeries', 'cafes', 'view-points', 'monuments', 'gardens']"
20,['resorts'],"['beaches', 'parks']","['theatres', 'museums', 'malls', 'zoo', 'pubs-bars']","['restaurants', 'burger-pizza', 'hotels-lodgings']","['juice-bars', 'art-galleries', 'dance-clubs', 'beauty-spas']","['churches', 'swimming-pools', 'gyms', 'bakeries', 'cafes', 'view-points', 'monuments', 'gardens']"
21,['beaches'],['parks'],"['theatres', 'museums', 'malls', 'zoo', 'pubs-bars']","['restaurants', 'burger-pizza', 'hotels-lodgings']","['resorts', 'juice-bars', 'art-galleries', 'dance-clubs', 'beauty-spas']","['churches', 'swimming-pools', 'gyms', 'bakeries', 'cafes', 'view-points', 'monuments', 'gardens']"
22,"['resorts', 'beaches']",['parks'],"['theatres', 'museums', 'malls', 'zoo']","['restaurants', 'pubs-bars', 'burger-pizza', 'hotels-lodgings']","['juice-bars', 'art-galleries', 'dance-clubs', 'beauty-spas']","['churches', 'swimming-pools', 'gyms', 'bakeries', 'cafes', 'view-points', 'monuments', 'gardens']"
23,"['resorts', 'beaches']",['parks'],"['theatres', 'museums', 'malls', 'zoo']","['restaurants', 'pubs-bars', 'burger-pizza', 'hotels-lodgings']","['juice-bars', 'art-galleries', 'dance-clubs']","['churches', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']"
24,['beaches'],['parks'],"['theatres', 'museums', 'malls', 'zoo']","['restaurants', 'pubs-bars', 'burger-pizza', 'hotels-lodgings', 'art-galleries']","['resorts', 'juice-bars', 'dance-clubs']","['churches', 'swimming-pools', 'gyms', 'bakeries', 'beauty-spas', 'cafes', 'view-points', 'monuments', 'gardens']"
